code,team_id,team_name,team_short_name,unavailable,pulse_id,event_id,fixture_id,fixture_difficulty,opponent_team,opponent_score,team_score,Game_played,is_home
90,6,Burnley,BUR,False,43,12,111.0,4.0,1.0,,,False,False
8,7,Chelsea,CHE,False,4,12,115.0,5.0,13.0,,,False,True
31,8,Crystal Palace,CRY,False,6,12,116.0,2.0,9.0,,,False,True
11,9,Everton,EVE,False,7,12,116.0,2.0,8.0,,,False,False
54,10,Fulham,FUL,False,34,12,112.0,3.0,2.0,,,False,False
14,11,Liverpool,LIV,False,10,12,117.0,3.0,4.0,,,False,True
102,12,Luton,LUT,False,163,12,118.0,4.0,14.0,,,False,False
43,13,Man City,MCI,False,11,12,115.0,3.0,7.0,,,False,False
1,14,Man Utd,MUN,False,12,12,118.0,2.0,12.0,,,False,True
4,15,Newcastle,NEW,False,23,12,113.0,2.0,3.0,,,False,False
17,16,Nott'm Forest,NFO,False,15,12,119.0,3.0,19.0,,,False,False
49,17,Sheffield Utd,SHU,False,18,12,114.0,3.0,5.0,,,False,False
6,18,Spurs,TOT,False,21,12,120.0,2.0,20.0,,,False,False
21,19,West Ham,WHU,False,25,12,119.0,2.0,16.0,,,False,True
39,20,Wolves,WOL,False,38,12,120.0,3.0,18.0,,,False,True
3,1,Arsenal,ARS,False,1,13,121.0,3.0,4.0,,,False,False
7,2,Aston Villa,AVL,False,2,13,130.0,3.0,18.0,,,False,False
91,3,Bournemouth,BOU,False,127,13,129.0,2.0,17.0,,,False,False
94,4,Brentford,BRE,False,130,13,121.0,4.0,1.0,,,False,True
36,5,Brighton,BHA,False,131,13,128.0,2.0,16.0,,,False,False
90,6,Burnley,BUR,False,43,13,122.0,2.0,19.0,,,False,True
8,7,Chelsea,CHE,False,4,13,127.0,4.0,15.0,,,False,False
31,8,Crystal Palace,CRY,False,6,13,125.0,2.0,12.0,,,False,False
11,9,Everton,EVE,False,7,13,123.0,3.0,14.0,,,False,True
54,10,Fulham,FUL,False,34,13,124.0,2.0,20.0,,,False,True
14,11,Liverpool,LIV,False,10,13,126.0,5.0,13.0,,,False,False
102,12,Luton,LUT,False,163,13,125.0,2.0,8.0,,,False,True
43,13,Man City,MCI,False,11,13,126.0,4.0,11.0,,,False,True
1,14,Man Utd,MUN,False,12,13,123.0,2.0,9.0,,,False,False
4,15,Newcastle,NEW,False,23,13,127.0,3.0,7.0,,,False,True
17,16,Nott'm Forest,NFO,False,15,13,128.0,3.0,5.0,,,False,True
49,17,Sheffield Utd,SHU,False,18,13,129.0,2.0,3.0,,,False,True
6,18,Spurs,TOT,False,21,13,130.0,3.0,2.0,,,False,True
21,19,West Ham,WHU,False,25,13,122.0,2.0,6.0,,,False,False
39,20,Wolves,WOL,False,38,13,124.0,2.0,10.0,,,False,False
3,1,Arsenal,ARS,False,1,14,131.0,2.0,20.0,,,False,True
7,2,Aston Villa,AVL,False,2,14,132.0,2.0,3.0,,,False,False
91,3,Bournemouth,BOU,False,127,14,132.0,3.0,2.0,,,False,True
94,4,Brentford,BRE,False,130,14,133.0,2.0,12.0,,,False,True
36,5,Brighton,BHA,False,131,14,135.0,3.0,7.0,,,False,False
90,6,Burnley,BUR,False,43,14,134.0,2.0,17.0,,,False,True
8,7,Chelsea,CHE,False,4,14,135.0,3.0,5.0,,,False,True
31,8,Crystal Palace,CRY,False,6,14,140.0,3.0,19.0,,,False,False
11,9,Everton,EVE,False,7,14,139.0,2.0,16.0,,,False,False
54,10,Fulham,FUL,False,34,14,136.0,4.0,11.0,,,False,False
14,11,Liverpool,LIV,False,10,14,136.0,2.0,10.0,,,False,True
102,12,Luton,LUT,False,163,14,133.0,3.0,4.0,,,False,False
43,13,Man City,MCI,False,11,14,137.0,3.0,18.0,,,False,True
1,14,Man Utd,MUN,False,12,14,138.0,4.0,15.0,,,False,False
4,15,Newcastle,NEW,False,23,14,138.0,3.0,14.0,,,False,True
17,16,Nott'm Forest,NFO,False,15,14,139.0,2.0,9.0,,,False,True
